Store,Address,City,State,Full Address
Victoria Liquor,201 Gough Street,San Francisco,California,"201 Gough Street, San Francisco, California"
Walgreens  Gough,300 Gough Street,San Francisco,California,"300 Gough Street, San Francisco, California"
Walgreen's-Clement St.,719 Clement Street,San Francisco,California,"719 Clement Street, San Francisco, California"
Walgreen's-Geary St.,5280 Geary Blvd,San Francisco,California,"5280 Geary Blvd, San Francisco, California"
Walgreen's-Point Lobos,25 Point Lobo Ave.,San Francisco,California,"25 Point Lobo Ave., San Francisco, California"
Albertsons-Rohnert Park,6335 Commerce Blvd,Rohnert Park,California,"6335 Commerce Blvd, Rohnert Park, California"
Andy's Produce - Sebastopol,1691 Gravenstein Hwy.,Sebastopol,California,"1691 Gravenstein Hwy., Sebastopol, California"
Armstrong Paper Group,2329 Circadian Way,Santa Rosa,California,"2329 Circadian Way, Santa Rosa, California"
Bartletts Market,9890 Main St.,Monte Rio,California,"9890 Main St., Monte Rio, California"
Berry's (Dave's),5290 Aero Dr.,Santa Rosa,California,"5290 Aero Dr., Santa Rosa, California"
Big John's Market,1345 Healdsburg Ave.,Healdsburg,California,"1345 Healdsburg Ave., Healdsburg, California"
Bills Farm Basket,10315 Bodega Hwy,Sebastopol,California,"10315 Bodega Hwy, Sebastopol, California"
Bodega Ave. Mkt.,1105 Bodega Ave.,Petaluma,California,"1105 Bodega Ave., Petaluma, California"
Bodega Country Store,17190 Bodega Hwy,Bodega,California,"17190 Bodega Hwy, Bodega, California"
Bohemian Club-Monte Rio,624 Taylor St.,San Francisco,California,"624 Taylor St., San Francisco, California"
Broadway Mkt.,20511 Broadway,Sonoma,California,"20511 Broadway, Sonoma, California"
Club Costa Vida/WFSH,,Santa Rosa,California,
CVS #9152 - Sonoma,201 W Napa St Ste 35,Sonoma,California,"201 W Napa St Ste 35, Sonoma, California"
"CVS #9163 - McDowell, Pet.",291 North McDowell Blvd.,Petaluma,California,"291 North McDowell Blvd., Petaluma, California"
"CVS #9480 - E. Wash., Pet.",365 East Washington St.,Petaluma,California,"365 East Washington St., Petaluma, California"
"CVS #9656 - 4th St.,S.Rosa",2771 - 4th Street,Santa Rosa,California,"2771 - 4th Street, Santa Rosa, California"
CVS #9872 - Sebastopol,788 Gravenstein Hwy.,Sebastopol,California,"788 Gravenstein Hwy., Sebastopol, California"
CVS #9928 - Rohnert Park,6378 Commerce Blvd.,Rohnert Park,California,"6378 Commerce Blvd., Rohnert Park, California"
CVS #9946 - Stony Point,463 Stony Point Rd.,Santa Rosa,California,"463 Stony Point Rd., Santa Rosa, California"
CVS #9948 - Yulupa Ave.,2700 Yulupa Ave.,Santa Rosa,California,"2700 Yulupa Ave., Santa Rosa, California"
Dave's Market,320 W. 3rd St.,Santa Rosa,California,"320 W. 3rd St., Santa Rosa, California"
Ernie's Tin Bar,5100 Lakeville Hwy.,Petaluma,California,"5100 Lakeville Hwy., Petaluma, California"
Fast & Easy - Forestville,6484 Mirabel Rd.,Forestville,California,"6484 Mirabel Rd., Forestville, California"
Fircrest Market,998 Gravenstein Hwy. South,Sebastopol,California,"998 Gravenstein Hwy. South, Sebastopol, California"
Food Maxx-Rohnert Park,605 Rohnert Park Expressway,Rohnert Park,California,"605 Rohnert Park Expressway, Rohnert Park, California"
Food Maxx-Santa Rosa,2055 Sebastopol Rd,Santa Rosa,California,"2055 Sebastopol Rd, Santa Rosa, California"
Fruit Basket #2,24101 Arnold Dr.,Sonoma,California,"24101 Arnold Dr., Sonoma, California"
Glen Ellen #12 (Willows),13751 Arnold Dr.,Glen Ellen,California,"13751 Arnold Dr., Glen Ellen, California"
Glen Ellen Village Mkt.,13751 Arnold Dr,Glen Ellen,California,"13751 Arnold Dr, Glen Ellen, California"
Glen Ellen Village/Nugget #18,13751 Arnold Dr.,Glen Ellen,California,"13751 Arnold Dr., Glen Ellen, California"
Gonnella's Country Mart,3707 Occidental Rd.,Occidental,California,"3707 Occidental Rd., Occidental, California"
Jacks Valley Store,7450 Highway 128,Philo,California,"7450 Highway 128, Philo, California"
"Longs Drugs #480-E. Wash.,Pet.",365 East Washington St.,Petaluma,California,"365 East Washington St., Petaluma, California"
Lucchessi's Deli,301 S. McDowell Blvd.,Petaluma,California,"301 S. McDowell Blvd., Petaluma, California"
Lucky - Gravenstein Hwy.,776 Gravenstein Hwy No.,Sebastopol,California,"776 Gravenstein Hwy No., Sebastopol, California"
Lucky - Lakeville Hwy.,939 Lakeville Hwy.,Petaluma,California,"939 Lakeville Hwy., Petaluma, California"
Lucky - Montgomery Village,915 Montgomery Village Ct.,Santa Rosa,California,"915 Montgomery Village Ct., Santa Rosa, California"
Lucky - Petaluma Blvd.,1000 Petaluma Blvd No.,Petaluma,California,"1000 Petaluma Blvd No., Petaluma, California"
Lucky - Sonoma Hwy.,19181 Sonoma Hwy.,Sonoma,California,"19181 Sonoma Hwy., Sonoma, California"
Molsberry Market,522 Larkfield Center,Santa Rosa,California,"522 Larkfield Center, Santa Rosa, California"
My Deli Market,1035 2nd Street,Santa Rosa,California,"1035 2nd Street, Santa Rosa, California"
Oakmont Village Mkt-Santa Rosa,6550 Oakmont Dr.,Santa Rosa,California,"6550 Oakmont Dr., Santa Rosa, California"
Oakville Grocery - Healdsburg,124 Matheson St,Healdsburg,California,"124 Matheson St, Healdsburg, California"
Oliver's - Cotati #1,546 East Cotati Ave.,Cotati,California,"546 East Cotati Ave., Cotati, California"
Oliver's - Montecito Blvd #2,560 Montecito Blvd.,Santa Rosa,California,"560 Montecito Blvd., Santa Rosa, California"
Oliver's Market-Cotati,546 E Cotati Ave,Cotati,California,"546 E Cotati Ave, Cotati, California"
Oliver's Market-Montecito Blvd,560 Montecito Center,Santa Rosa,California,"560 Montecito Center, Santa Rosa, California"
Oliver's- Windsor,9230 Old Redwood Hwy,Windsor,California,"9230 Old Redwood Hwy, Windsor, California"
Oliver's-Guy's Grocery Games,1721 Ditty Ave.,Santa Rosa,California,"1721 Ditty Ave., Santa Rosa, California"
Oliver's-Stony Point #3,461 Stony Point Rd.,Santa Rosa,California,"461 Stony Point Rd., Santa Rosa, California"
Oliver's-Stony Point Rd.,1721 Ditty Ave.,Santa Rosa,California,"1721 Ditty Ave., Santa Rosa, California"
Oliver's-Windsor #4,9230 Old Redwood Hwy,Windsor,California,"9230 Old Redwood Hwy, Windsor, California"
Pacific Market / Fiesta,550 Gravenstein Hwy N.,Sebastopol,California,"550 Gravenstein Hwy N., Sebastopol, California"
Pacific Market-Santa Rosa,1465 Town & Country Dr.,Santa Rosa,California,"1465 Town & Country Dr., Santa Rosa, California"
Petaluma Market,210 Western Ave.,Petaluma,California,"210 Western Ave., Petaluma, California"
Poppy Bank,438 - 1st Street,Santa Rosa,California,"438 - 1st Street, Santa Rosa, California"
Raley's - Petaluma,157 N. McDowell Blvd.,Petaluma,California,"157 N. McDowell Blvd., Petaluma, California"
Raley's-Rohnert Park,100 Raley's Town Center,Rohnert Park,California,"100 Raley's Town Center, Rohnert Park, California"
Raley's-Santa Rosa,1407 Fulton Rd.,Santa Rosa,California,"1407 Fulton Rd., Santa Rosa, California"
Raley's-Windsor,8852 Lakewood Dr.,Windsor,California,"8852 Lakewood Dr., Windsor, California"
Ralph's-Sonoma,201 W. Napa St,Sonoma,California,"201 W. Napa St, Sonoma, California"
Ramazzotti,21015 Geyserville Ave,Geyserville,California,"21015 Geyserville Ave, Geyserville, California"
Rancho Mendoza - Piner Rd,1201 Piner Rd.,Santa Rosa,California,"1201 Piner Rd., Santa Rosa, California"
Rancho Mendoza - Sebastopol Rd,640 Sebastopol Rd.,Santa Rosa,California,"640 Sebastopol Rd., Santa Rosa, California"
Rialto Cinemas Cerrito,10070 San Pablo Ave,El Cerrito,California,"10070 San Pablo Ave, El Cerrito, California"
Rialto Cinemas Sebastopol,6868 McKinley St,Sebastopol,California,"6868 McKinley St, Sebastopol, California"
Safeway #1265-Yulupa Ave.,2785 Yulupa Ave.,Santa Rosa,California,"2785 Yulupa Ave., Santa Rosa, California"
Safeway #1562-4th St.S.Rosa,2751 Fourth Street,Santa Rosa,California,"2751 Fourth Street, Santa Rosa, California"
Safeway #1950-Guerneville,16405 River Road,Guerneville,California,"16405 River Road, Guerneville, California"
Safeway #2456-Son Mtn Pkwy,701 Sonoma Mountain Pkwy,Petaluma,California,"701 Sonoma Mountain Pkwy, Petaluma, California"
Safeway #2457-W. College Ave,1211 W. College Ave.,Santa Rosa,California,"1211 W. College Ave., Santa Rosa, California"
Safeway #713-Calistoga Rd.,100 Calistoga Rd.,Santa Rosa,California,"100 Calistoga Rd., Santa Rosa, California"
"Safeway #7956-Marlow, S.Rosa",1799 Marlow Road,Santa Rosa,California,"1799 Marlow Road, Santa Rosa, California"
Safeway #911-Sonoma,477 W. Napa St.,Sonoma,California,"477 W. Napa St., Sonoma, California"
Safeway #918-Rohnert Park,6340 Commerce Blvd.,Rohnert Park,California,"6340 Commerce Blvd., Rohnert Park, California"
Safeway #933-Sebastopol,406 N Main St.,Sebastopol,California,"406 N Main St., Sebastopol, California"
Safeway#3011-S. McDowell,389 So. McDowell Blvd.,Petaluma,California,"389 So. McDowell Blvd., Petaluma, California"
Sequoia Market,1382 Gravenstein Hwy. South,Sebastopol,California,"1382 Gravenstein Hwy. South, Sebastopol, California"
Seven Eleven -Perry Lane,860 Perry Lane,Petaluma,California,"860 Perry Lane, Petaluma, California"
Shelton's,428 Center Street,Healdsburg,California,"428 Center Street, Healdsburg, California"
Smart & Final - Petaluma,429 N. McDowell Blvd.,Petaluma,California,"429 N. McDowell Blvd., Petaluma, California"
Smart & Final #409- Santa Rosa,2805 Santa Rosa Avenue,Santa Rosa,California,"2805 Santa Rosa Avenue, Santa Rosa, California"
Sonoma Cheese Factory,2 Spain St.,Sonoma,California,"2 Spain St., Sonoma, California"
Sonoma Market,500 W Napa St,Sonoma,California,"500 W Napa St, Sonoma, California"
Sonoma Market/Nugget #17,501 W Napa St,Sonoma,California,"501 W Napa St, Sonoma, California"
Sonoma's Best,1190 East Napa Street,Sonoma,California,"1190 East Napa Street, Sonoma, California"
South City Market,301 Mountain View Ave,Petaluma,California,"301 Mountain View Ave, Petaluma, California"
Speer's Market,7891 Mirabel Road,Forestville,California,"7891 Mirabel Road, Forestville, California"
SRJC Bookstore,220 Elliott Ave.,Santa Rosa,California,"220 Elliott Ave., Santa Rosa, California"
SRJC Bookstore,Petaluma Campus,Petaluma,California,"Petaluma Campus, Petaluma, California"
Target - Coddingtown,900 Coddingtown Center,Santa Rosa,California,"900 Coddingtown Center, Santa Rosa, California"
Target-Petaluma,401 Kenilworth Dr.,Petaluma,California,"401 Kenilworth Dr., Petaluma, California"
Target-Rohnert Park,475 Rohnert Pk Express Way,Rohnert Park,California,"475 Rohnert Pk Express Way, Rohnert Park, California"
Target-Santa Rosa,1980 Santa Rosa Ave.,Santa Rosa,California,"1980 Santa Rosa Ave., Santa Rosa, California"
The Farmhand,15025 River Road,Guerneville,California,"15025 River Road, Guerneville, California"
Walia's Fuel,910 Baywood,Petaluma,California,"910 Baywood, Petaluma, California"
Walmart- RP Neighborhood Mkt,901 Golf Course Dr,Rohnert Park,California,"901 Golf Course Dr, Rohnert Park, California"
Walmart-Rohnert Park,4625 Redwood Dr,Rohnert Park,California,"4625 Redwood Dr, Rohnert Park, California"
CVS #1173 - Healdsburg,455 Center St,Healdsburg,California,"455 Center St, Healdsburg, California"
CVS #9393 - Mendocino Ave.,2075 Mendocino Ave.,Santa Rosa,California,"2075 Mendocino Ave., Santa Rosa, California"
CVS #9931 - Windsor,9030 Brooks Rd. S,Windsor,California,"9030 Brooks Rd. S, Windsor, California"
Longs Drug-Healdsburg,455 Center St,Healdsburg,California,"455 Center St, Healdsburg, California"
Lucky - Bicentennial,150 Bicentennial,Santa Rosa,California,"150 Bicentennial, Santa Rosa, California"
Lucky - Bicentennial,150 Bicentennial,Santa Rosa,California,"150 Bicentennial, Santa Rosa, California"
Raley's-Windsor,8852 Lakewood Dr.,Windsor,California,"8852 Lakewood Dr., Windsor, California"
Safeway #1434-Windsor,9080 Brooks Rd.,Windsor,California,"9080 Brooks Rd., Windsor, California"
Safeway #1576-Mendocino  Ave.,2300 Mendocino Ave.,Santa Rosa,California,"2300 Mendocino Ave., Santa Rosa, California"
Safeway #998-Healdsburg,1115 Vine St.,Healdsburg,California,"1115 Vine St., Healdsburg, California"
Walmart- Windsor,6650 Hembree Ln,Windsor,California,"6650 Hembree Ln, Windsor, California"
